"cod_ibge","nome","classe","subjacente","proc_grau","bens_industriais","source"
"1101002","1101002.Arroz","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1101051","1101051.Feijão - mulatinho","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1101052","1101052.Feijão - preto","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1101053","1101053.Feijão - macáçar (fradinho)","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1101073","1101073.Feijão - carioca (rajado)","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1101075","1101075.Feijão - branco","alimento_domic",NA,"semi_elab",FALSE,"auto: item-prefix inheritance"
"1101079","1101079.Milho (em grão)","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1101084","1101084.Fava","alimento_domic",NA,"semi_elab",FALSE,"auto: item-prefix inheritance"
"1102001","1102001.Farinha de arroz","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1102006","1102006.Macarrão","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1102008","1102008.Fubá de milho","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1102009","1102009.Amido de milho","alimento_domic",NA,"industr",FALSE,"auto: item-prefix inheritance"
"1102010","1102010.Flocos de milho","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1102012","1102012.Farinha de trigo","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1102013","1102013.Farinha vitaminada","alimento_domic",NA,"industr",FALSE,"auto: item-prefix inheritance"
"1102023","1102023.Farinha de mandioca","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1102029","1102029.Massa semipreparada","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1102061","1102061.Macarrão instantâneo","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1103002","1103002.Batata-doce","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103003","1103003.Batata-inglesa","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103004","1103004.Inhame","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103005","1103005.Mandioca (aipim)","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103017","1103017.Abóbora","alimento_domic",NA,"in_natura",FALSE,"auto: item-prefix inheritance"
"1103020","1103020.Abobrinha","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103021","1103021.Chuchu","alimento_domic",NA,"in_natura",FALSE,"auto: item-prefix inheritance"
"1103025","1103025.Pepino","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103026","1103026.Pimentão","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103027","1103027.Quiabo","alimento_domic",NA,"in_natura",FALSE,"auto: item-prefix inheritance"
"1103028","1103028.Tomate","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103043","1103043.Cebola","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103044","1103044.Cenoura","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1103046","1103046.Mandioquinha (batata-baroa)","alimento_domic",NA,"in_natura",FALSE,"auto: item-prefix inheritance"
"1104003","1104003.Açúcar refinado","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1104004","1104004.Açúcar cristal","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1104018","1104018.Balas","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1104023","1104023.Chocolate em barra e bombom","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1104028","1104028.Gelatina","alimento_domic",NA,"industr",FALSE,"auto: item-prefix inheritance"
"1104032","1104032.Sorvete","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1104052","1104052.Chocolate e achocolatado em pó","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1104060","1104060.Doce de frutas em pasta","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1104066","1104066.Doce de leite","alimento_domic",NA,"industr",FALSE,"auto: item-prefix inheritance"
"1104067","1104067.Açúcar demerara","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1105001","1105001.Alface","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1105004","1105004.Coentro","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1105005","1105005.Couve","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1105006","1105006.Couve-flor","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1105010","1105010.Repolho","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1105012","1105012.Cheiro-verde","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1105013","1105013.Agrião","alimento_domic",NA,"in_natura",FALSE,"auto: item-prefix inheritance"
"1105019","1105019.Brócolis","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106001","1106001.Banana-da-terra","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106003","1106003.Abacaxi","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106004","1106004.Abacate","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106005","1106005.Banana - d'água","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106006","1106006.Banana - maçã","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106008","1106008.Banana - prata","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106011","1106011.Laranja - baía","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106012","1106012.Laranja - lima","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106015","1106015.Limão","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106017","1106017.Maçã","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106018","1106018.Mamão","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106019","1106019.Manga","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106020","1106020.Maracujá","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106021","1106021.Melancia","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106022","1106022.Melão","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106023","1106023.Pera","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106027","1106027.Tangerina","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106028","1106028.Uva","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106034","1106034.Ameixa","alimento_domic",NA,"in_natura",FALSE,"auto: item-prefix inheritance"
"1106039","1106039.Laranja - pera","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106051","1106051.Morango","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1106084","1106084.Goiaba","alimento_domic",NA,"in_natura",FALSE,"BCB RI Dez/2019 Tab.5"
"1107009","1107009.Fígado","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107010","1107010.Outras vísceras","alimento_domic",NA,"semi_elab",FALSE,"auto: item-prefix inheritance"
"1107018","1107018.Carne de porco","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107031","1107031.Carne de carneiro","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107081","1107081.Cupim","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107084","1107084.Contrafilé","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107085","1107085.Filé-mignon","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107087","1107087.Chã de dentro","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107088","1107088.Alcatra","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107089","1107089.Patinho","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107090","1107090.Lagarto redondo","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107091","1107091.Lagarto comum","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107093","1107093.Músculo","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107094","1107094.Pá","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107095","1107095.Acém","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
"1107096","1107096.Peito","alimento_domic",NA,"semi_elab",FALSE,"BCB RI Dez/2019 Tab.5"
