cat,sgs,n,ini,fim,corr,mean_abs,max_abs,bias,tag
administrados,4449,173,2012-02,2026-06,0.76143,0.42628,2.84615,+0.00163,
administrados,7478,173,2012-02,2026-06,0.69698,0.46916,3.54821,+0.04331,
administrados,7477,162,2012-02,2025-07,0.59157,0.53327,3.98821,+0.13028,
administrados,4453,97,2012-02,2020-02,0.54611,2.03725,19.17912,-0.08315,
administrados,1639,173,2012-02,2026-06,0.52736,0.68809,3.21580,+0.11886,
alim_domicilio,1635,173,2012-02,2026-06,0.86950,0.38185,1.90751,+0.02037,
alim_domicilio,27864,173,2012-02,2026-06,0.86513,0.39675,2.09751,+0.00493,
alim_domicilio,10841,173,2012-02,2026-06,0.83290,0.41109,2.43751,+0.04100,
alim_domicilio,11428,173,2012-02,2026-06,0.71282,0.61552,2.82570,+0.14886,
alim_domicilio,4447,173,2012-02,2026-06,0.63171,0.61872,3.39570,+0.16961,
alim_in_natura,27864,173,2012-02,2026-06,0.57254,2.87075,10.97283,+0.29898,
alim_in_natura,1635,173,2012-02,2026-06,0.55951,2.95785,11.42283,+0.31441,
alim_in_natura,10841,173,2012-02,2026-06,0.54800,2.95219,12.16283,+0.33505,
alim_in_natura,4448,173,2012-02,2026-06,0.54385,3.06437,12.53283,+0.42198,
alim_in_natura,11428,173,2012-02,2026-06,0.44873,3.12201,12.90283,+0.44291,
alim_industr,21379,173,2012-02,2026-06,0.67597,60.57046,76.66827,-60.57046,
alim_industr,27838,173,2012-02,2026-06,0.67491,0.34922,1.29322,+0.09289,
alim_industr,4447,173,2012-02,2026-06,0.65314,0.34836,1.60060,+0.11307,
alim_industr,11426,173,2012-02,2026-06,0.64486,0.37873,1.49322,+0.14555,
alim_industr,4466,173,2012-02,2026-06,0.64059,0.36601,1.40322,+0.10081,
alim_semi_elab,1635,173,2012-02,2026-06,0.65169,0.85135,6.08963,+0.01564,
alim_semi_elab,27864,173,2012-02,2026-06,0.64895,0.85117,5.53217,+0.00021,
alim_semi_elab,10841,173,2012-02,2026-06,0.60166,0.88429,5.91963,+0.03628,
alim_semi_elab,4447,173,2012-02,2026-06,0.59318,0.94308,7.51963,+0.16489,
alim_semi_elab,11428,173,2012-02,2026-06,0.48386,1.01077,8.03963,+0.14414,
comerc,4447,173,2012-02,2026-06,0.81694,0.21341,1.33361,-0.01217,
comerc,21379,173,2012-02,2026-06,0.71611,60.69569,77.18069,-60.69569,
comerc,10841,173,2012-02,2026-06,0.71108,0.44290,1.98047,-0.14078,
comerc,11428,173,2012-02,2026-06,0.70370,0.26427,0.98927,-0.03292,
comerc,1635,173,2012-02,2026-06,0.69116,0.42372,1.95392,-0.16142,
difusao,21379,173,2012-02,2026-06,0.88936,2.95129,12.23123,+0.09453,
difusao,11426,173,2012-02,2026-06,0.81952,60.81054,77.76659,+60.81054,
difusao,28750,173,2012-02,2026-06,0.81127,60.75788,77.77659,+60.75788,
difusao,4466,173,2012-02,2026-06,0.80136,60.76580,77.73659,+60.76580,
difusao,29681,166,2012-02,2025-11,0.79096,60.71623,77.80659,+60.71623,
duraveis,10843,173,2012-02,2026-06,0.79191,0.23610,1.45734,-0.00924,
duraveis,1637,173,2012-02,2026-06,0.65408,0.33516,1.56136,-0.10728,
duraveis,27863,173,2012-02,2026-06,0.64327,0.31594,1.51564,-0.14363,
duraveis,29681,166,2012-02,2025-11,0.49312,0.39929,1.76321,-0.25853,
duraveis,16122,173,2012-02,2026-06,0.49134,0.39254,1.76321,-0.25571,
ex3_ind,4466,173,2012-02,2026-06,0.62246,0.23759,0.96003,-0.06998,
ex3_ind,27838,173,2012-02,2026-06,0.61673,0.23213,1.22849,-0.07790,
ex3_ind,29680,166,2012-02,2025-11,0.60833,0.22740,1.26326,-0.06911,
ex3_ind,10842,173,2012-02,2026-06,0.60238,0.29239,1.82849,+0.02880,
ex3_ind,11426,173,2012-02,2026-06,0.60203,0.23304,1.18566,-0.02524,
ex3_serv,29683,173,2012-02,2026-06,0.85446,0.11485,0.41311,-0.02343,
ex3_serv,29680,166,2012-02,2025-11,0.65367,0.17498,0.80615,+0.02918,
ex3_serv,27839,173,2012-02,2026-06,0.65062,0.17283,0.80615,+0.02825,
ex3_serv,27838,173,2012-02,2026-06,0.64784,0.17494,0.77615,+0.01790,
ex3_serv,4466,173,2012-02,2026-06,0.63073,0.16003,0.78488,+0.02582,
industriais,27863,173,2012-02,2026-06,0.75960,0.19736,0.85017,-0.00104,
industriais,11426,173,2012-02,2026-06,0.68353,0.22340,1.13868,-0.06676,
industriais,29681,166,2012-02,2025-11,0.65464,0.25264,1.07868,-0.11523,
industriais,28750,173,2012-02,2026-06,0.65299,0.25015,1.09936,-0.11942,
industriais,16122,173,2012-02,2026-06,0.65030,0.25013,1.07868,-0.11312,
livres,11428,173,2012-02,2026-06,0.89053,0.12751,0.71372,+0.00152,
livres,11426,173,2012-02,2026-06,0.78818,0.17819,0.73985,+0.05476,
livres,29681,166,2012-02,2025-11,0.78542,0.17433,0.75258,+0.00370,
livres,4448,173,2012-02,2026-06,0.78045,0.21622,0.67042,-0.01941,
livres,16122,173,2012-02,2026-06,0.77821,0.17476,0.75258,+0.00840,
ncomerc,4448,173,2012-02,2026-06,0.88894,0.14694,0.67396,+0.02020,
ncomerc,10844,173,2012-02,2026-06,0.81719,0.19315,0.63705,+0.01818,
ncomerc,29682,166,2012-02,2025-11,0.74166,0.21973,0.92345,+0.05381,
ncomerc,11427,173,2012-02,2026-06,0.74110,0.22275,0.92734,+0.07622,
ncomerc,28751,173,2012-02,2026-06,0.73687,0.22437,0.92345,+0.06113,
ndur_industr,7478,173,2012-02,2026-06,0.53525,0.42248,2.30380,+0.02301,
ndur_industr,27863,173,2012-02,2026-06,0.51142,0.43549,2.22008,+0.15688,
ndur_industr,11426,173,2012-02,2026-06,0.50099,0.44646,2.00819,+0.09116,
ndur_industr,21379,173,2012-02,2026-06,0.49158,60.62486,77.49031,-60.62486,
ndur_industr,28750,173,2012-02,2026-06,0.47340,0.45868,2.08380,+0.03850,
nucleo_dp,29681,154,2012-08,2025-11,0.89601,0.07760,0.26478,+0.00278,
nucleo_dp,16122,161,2012-08,2026-06,0.89363,0.07803,0.26478,+0.00258,
nucleo_dp,11426,161,2012-08,2026-06,0.85443,0.09671,0.37163,+0.05046,
nucleo_dp,4466,161,2012-08,2026-06,0.84124,0.08949,0.40408,+0.00661,
nucleo_dp,28750,161,2012-08,2026-06,0.81994,0.09717,0.43408,+0.00102,
nucleo_ex0,11427,173,2012-02,2026-06,0.90001,0.09652,0.42388,+0.00034,
nucleo_ex0,28751,173,2012-02,2026-06,0.84259,0.11267,0.52881,-0.01475,
nucleo_ex0,29682,166,2012-02,2025-11,0.84158,0.11359,0.51881,-0.01532,
nucleo_ex0,10844,173,2012-02,2026-06,0.79456,0.17866,0.63881,-0.05770,
nucleo_ex0,29681,166,2012-02,2025-11,0.78552,0.13837,0.53937,-0.03105,
nucleo_ex1,16121,173,2012-02,2026-06,0.84274,0.11112,0.63711,+0.00114,
nucleo_ex1,7478,173,2012-02,2026-06,0.74785,0.17033,1.11052,-0.02384,
nucleo_ex1,29681,166,2012-02,2025-11,0.74615,0.13548,0.58787,-0.00215,
nucleo_ex1,16122,173,2012-02,2026-06,0.73496,0.13853,0.58787,-0.00204,
nucleo_ex1,28751,173,2012-02,2026-06,0.72429,0.13616,0.74787,+0.01108,
nucleo_ex3,27838,173,2012-02,2026-06,0.80214,0.11577,0.85011,-0.01102,
nucleo_ex3,4466,173,2012-02,2026-06,0.79519,0.11614,0.51011,-0.00310,
nucleo_ex3,29680,166,2012-02,2025-11,0.79422,0.11349,0.84011,-0.00053,
nucleo_ex3,27839,173,2012-02,2026-06,0.79039,0.11259,0.84011,-0.00068,
nucleo_ex3,11426,173,2012-02,2026-06,0.76531,0.13124,0.65808,+0.04164,
nucleo_exfe,29682,166,2012-02,2025-11,0.88388,0.08926,0.39605,+0.00181,
nucleo_exfe,28751,173,2012-02,2026-06,0.88314,0.08972,0.39605,+0.00138,
nucleo_exfe,11427,173,2012-02,2026-06,0.81236,0.13017,0.61119,+0.01646,
nucleo_exfe,29681,166,2012-02,2025-11,0.76375,0.12866,0.50425,-0.01391,
nucleo_exfe,10844,173,2012-02,2026-06,0.75414,0.18966,0.75119,-0.04157,
nucleo_ma,11426,173,2012-02,2026-06,0.90295,0.07101,0.34129,-0.00106,
nucleo_ma,4466,173,2012-02,2026-06,0.86223,0.09257,0.44129,-0.04580,
nucleo_ma,29681,166,2012-02,2025-11,0.85163,0.10442,0.37129,-0.04720,
nucleo_ma,28750,173,2012-02,2026-06,0.85079,0.09535,0.43129,-0.05372,
nucleo_ma,16122,173,2012-02,2026-06,0.85017,0.10351,0.37129,-0.04742,
nucleo_medio,4466,161,2012-08,2026-06,0.87713,0.07811,0.26224,-0.00295,
nucleo_medio,11426,161,2012-08,2026-06,0.86634,0.08944,0.29777,+0.04090,
nucleo_medio,29681,154,2012-08,2025-11,0.86281,0.09029,0.31100,-0.00817,
nucleo_medio,16122,161,2012-08,2026-06,0.85968,0.09019,0.31100,-0.00699,
nucleo_medio,28750,161,2012-08,2026-06,0.84717,0.08720,0.32984,-0.00854,
nucleo_ms,4466,173,2012-02,2026-06,0.93256,0.05917,0.19735,-0.00394,
nucleo_ms,11426,173,2012-02,2026-06,0.82006,0.10080,0.49735,+0.04080,
nucleo_ms,29681,166,2012-02,2025-11,0.80945,0.10429,0.46735,-0.00503,
nucleo_ms,16122,173,2012-02,2026-06,0.80736,0.10366,0.46735,-0.00556,
nucleo_ms,28750,173,2012-02,2026-06,0.80716,0.09629,0.54735,-0.01186,
nucleo_p55,28750,173,2012-02,2026-06,0.83797,0.08734,0.40000,-0.00757,
nucleo_p55,11426,173,2012-02,2026-06,0.82579,0.10358,0.37000,+0.04509,
nucleo_p55,4466,173,2012-02,2026-06,0.82017,0.09191,0.47000,+0.00035,
nucleo_p55,29681,166,2012-02,2025-11,0.79716,0.10843,0.36000,-0.00157,
nucleo_p55,16122,173,2012-02,2026-06,0.79301,0.10832,0.36000,-0.00127,
semiduraveis,10842,173,2012-02,2026-06,0.74302,0.26701,0.93024,+0.00371,
